tag	condition	replicate	wall_ms	exit_code	prompt_bytes	prompt_sha256_16	input-tokens	cached-input-tokens	output-tokens	reasoning-output-tokens	decoded-tokens	turn-started-ms	message-chars	loadavg
r01-A	A	1	4725	0	131140	71898e9c326f5c96	41881	9984	5	0	5	271.3	2	1.36 1.30 1.18
r01-C	C	1	4071	0	53	ac06a64cbe87a9b9	14403	9984	5	0	5	317.7	2	1.49 1.32 1.19
r02-A	A	2	5067	0	131140	41de9754f06d446b	41898	14080	5	0	5	316.9	2	1.37 1.30 1.19
r02-C	C	2	3587	0	53	ac06a64cbe87a9b9	14403	9984	5	0	5	260.3	2	1.26 1.28 1.18
r03-A	A	3	6054	0	131140	9e13afdb5aec837d	41861	14080	5	0	5	298.4	2	1.24 1.27 1.18
r03-C	C	3	4585	0	53	ac06a64cbe87a9b9	14403	9984	5	0	5	277.1	2	1.22 1.27 1.18
r04-A	A	4	4619	0	131140	33dec03bf8a3aa08	41856	9984	5	0	5	311.9	2	1.20 1.26 1.18
r04-C	C	4	3983	0	53	ac06a64cbe87a9b9	14403	14080	5	0	5	316.0	2	1.27 1.28 1.18
r05-A	A	5	3693	0	131140	0eeceee487dd91ff	41849	9984	5	0	5	278.4	2	1.24 1.27 1.18
r05-C	C	5	4049	0	53	ac06a64cbe87a9b9	14403	9984	5	0	5	263.0	2	1.24 1.27 1.18
