row_id	family	status	reason	repo	file	pre_sha	session	ts	model
77f1d11a3bb0c966	-	ineligible	out-of-family:x-noop	-	-	-	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T22:54:21.957Z	gpt-6-astra
9274695606f67525	-	ineligible	out-of-family:x-noop	-	-	-	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T22:55:27.675Z	gpt-6-astra
e3475ee9fd72cc83	-	ineligible	out-of-family:x-noop	-	-	-	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T22:56:41.786Z	gpt-6-astra
84be0678d3f92462	-	ineligible	out-of-family:x-noop	-	-	-	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T22:57:18.472Z	gpt-6-astra
045ab5707c6a9a64	-	ineligible	out-of-family:x-other	-	-	-	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T22:57:43.054Z	gpt-6-astra
c4172888598790f3	T	eligible	ok	/home/forge/src/clj-surgeon-astra-consult	test/clj_surgeon/namespace_split_test.clj	8b1dd01d89dd7275d5a1f600b5d90b1e5c6383ec	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T22:59:21.732Z	gpt-6-astra
428535117d5f6dfa	-	ineligible	out-of-family:x-other	-	-	-	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T23:00:27.381Z	gpt-6-astra
0c6b85bcc72f7b7d	-	ineligible	out-of-family:x-noop	-	-	-	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T23:02:55.157Z	gpt-6-astra
e2f24b9bc8f1c040	-	ineligible	out-of-family:x-other	-	-	-	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T23:03:31.569Z	gpt-6-astra
981e974b5b6c1a2c	-	ineligible	out-of-family:x-noop	-	-	-	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T23:04:18.524Z	gpt-6-astra
