tag	condition	replicate	wall_ms	exit_code	prompt_bytes	prompt_sha256_16	input-tokens	cached-input-tokens	output-tokens	reasoning-output-tokens	decoded-tokens	turn-started-ms	message-chars	loadavg
r01-A	A	1	6290	0	524140	54b1de4d8e48e650	124084	12032	5	0	5	288.6	2	1.43 1.30 1.20
r01-C	C	1	4138	0	53	ac06a64cbe87a9b9	14405	12032	5	0	5	327.3	2	1.43 1.30 1.20
r02-A	A	2	7313	0	524140	989a2c30f160bd67	124083	9984	5	0	5	291.1	2	1.36 1.29 1.19
r02-C	C	2	5711	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	327.8	2	1.33 1.28 1.19
r03-A	A	3	5808	0	524140	9f1b5479a59c3ae2	124350	14080	5	0	5	306.0	2	1.47 1.31 1.20
r03-C	C	3	5613	0	53	ac06a64cbe87a9b9	14405	14080	5	0	5	329.7	2	1.43 1.31 1.20
r04-A	A	4	5522	0	524140	516a489e046fc96c	124215	14080	5	0	5	284.9	2	1.50 1.33 1.21
r04-C	C	4	3530	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	322.9	2	1.50 1.33 1.21
r05-A	A	5	6963	0	524140	fee4537ada84f6d7	124111	14080	5	0	5	332.8	2	1.35 1.30 1.20
r05-C	C	5	6624	0	53	ac06a64cbe87a9b9	14405	14080	5	0	5	340.8	2	1.32 1.30 1.20
